# Sample flow file,,,,,
# Baseline flow,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,
# Robert Morden,,,,,
date,C1,C2,C3,C4,C5
1889-01-01,358.6021,80.9144,1057.5517,1769.5211,121.1892
1889-02-01,86.3419,28.7057,316.2952,762.51,0.2284
1889-03-01,22.6951,1.2267,87.1238,170.5813,0.0012
1889-04-01,317.2046,744.1075,2906.6809,8024.8532,27.5257
1889-05-01,284.2196,554.5657,2179.4496,4703.0683,2.9573
1889-06-01,1492.6106,3832.1802,13527.2546,25972.0097,1118.3143
1889-07-01,254.6272,1830.5133,8962.7207,16969.0021,517.9074
1889-08-01,613.8031,3010.5426,11146.774,20538.5427,1467.9105
1889-09-01,222.8044,485.3945,4102.5364,7316.592,122.6008
1889-10-01,375.4936,1315.4164,5194.1832,14992.2196,3326.3196
1889-11-01,195.7632,147.5328,1559.2654,3529.9504,20.757
1889-12-01,37.6412,40.712,436.4119,952.8831,0.1304
1890-01-01,32.4916,29.2535,189.1388,583.0737,0.377
1890-02-01,4.6276,24.3375,50.8398,165.1459,0.0078
1890-03-01,23.2471,69.7523,223.9553,932.1606,0.272
1890-04-01,10.4991,27.239,61.7142,328.9214,0.0939
1890-05-01,19.8333,66.9526,191.1342,915.2895,0.6184
1890-06-01,60.3427,93.2535,382.6638,2179.5469,10.0471
1890-07-01,79.2286,144.1148,694.6633,3306.4687,22.5221
1890-08-01,213.7506,636.0268,2180.435,7766.1688,221.7715
1890-09-01,145.6484,1136.3463,2860.4141,12824.4086,343.4422
1890-10-01,125.9209,334.8485,1612.2412,7387.7776,307.4262
1890-11-01,256.9463,599.1377,2597.0212,11768.1896,152.4339
1890-12-01,53.7938,60.4522,586.5877,2158.3817,6.0605
1891-01-01,11.5538,32.0603,172.8548,538.276,0.0296
1891-02-01,2.7418,27.6597,51.0747,153.2653,0
1891-03-01,61.9257,46.4893,143.7435,318.6281,0.0126
1891-04-01,18.7635,91.148,232.9589,672.2567,0.0455
1891-05-01,49.7249,55.9536,338.4758,928.8972,1.9577
1891-06-01,91.9943,289.7032,1191.9977,5048.8778,72.0823
1891-07-01,354.813,2376.0589,7751.5431,18392.6194,7.4586
1891-08-01,201.8017,3365.7733,7878.7981,19960.5096,0.4026
1891-09-01,106.0714,761.3212,3265.0011,7671.9633,12.0065
1891-10-01,390.535,1748.6043,6234.3897,17495.1243,78.5294
1891-11-01,129.9505,277.3428,1879.2605,4416.6184,5.8829
1891-12-01,68.9238,103.7254,782.0511,1805.0705,2.3236
1892-01-01,10.9962,47.4447,199.343,446.7107,0.0126
1892-02-01,2.8827,42.4626,61.7482,151.5146,0
1892-03-01,18.6868,76.345,183.6187,815.1354,0.7634
1892-04-01,581.511,949.8122,5584.788,14379.1178,278.7222
1892-05-01,271.3968,609.7941,3581.2046,10364.3756,33.7796
1892-06-01,253.5804,866.656,4527.3145,11729.2459,53.4858
1892-07-01,116.2268,818.2178,5744.8229,12055.6274,125.1468
1892-08-01,412.5964,3557.1099,13302.8581,25080.0682,968.8451
1892-09-01,238.1201,1459.1437,6259.4659,13376.7806,189.6788
1892-10-01,180.0597,981.0305,3535.4604,8966.0406,42.5093
1892-11-01,298.2509,432.8749,2588.7586,5414.3429,36.2902
1892-12-01,115.1606,228.1578,1124.7538,3573.3453,5.5386
1893-01-01,18.5181,63.4057,253.3917,660.7332,0.0273
1893-02-01,4.6144,57.0832,78.1531,224.2318,0
1893-03-01,23.8963,114.4281,194.0919,1018.5394,0.0527
1893-04-01,150.0912,331.1757,1617.5034,4385.629,19.6463
1893-05-01,541.9465,1606.4486,5551.8313,17232.9013,154.6525
1893-06-01,231.6856,717.9731,3256.0748,12507.6435,136.8896
1893-07-01,155.7982,1356.424,4964.4571,13857.9356,230.8948
1893-08-01,293.0661,3541.4704,11095.5628,24523.3668,454.0074
1893-09-01,471.3138,4223.7176,13095.0698,30487.0548,4804.7794
1893-10-01,949.9102,2776.7992,11509.2621,26822.7533,2588.0789
1893-11-01,451.7222,1158.4323,4639.5969,15015.5077,115.5021
1893-12-01,79.3566,141.1638,1204.1946,2605.8017,1.1078
1894-01-01,19.8456,91.5215,372.3834,779.2485,0.0395
1894-02-01,5.2506,82.8098,120.6484,352.5822,0.016
1894-03-01,53.9026,96.218,216.4455,490.7621,0.5199
1894-04-01,101.1743,243.1474,1034.0785,2641.8522,11.0933
1894-05-01,112.8475,396.823,1693.4694,4327.6768,2.9851
1894-06-01,204.5839,1024.0264,3985.5362,10714.3159,85.402
1894-07-01,492.8642,2899.9092,13014.4487,28948.1143,1348.3929
1894-08-01,245.1748,2154.4763,9364.361,17496.3464,329.4726
1894-09-01,647.1229,2753.6833,13122.182,23864.7606,1519.0005
1894-10-01,1531.0335,2245.1885,14683.43,30874.4218,7934.685
1894-11-01,177.1129,117.5236,2657.8527,4109.4483,20.9183
1894-12-01,143.8783,265.1112,1475.901,3213.657,3.6868
1895-01-01,60.3205,128.6588,510.6458,1238.0643,0.7576
1895-02-01,9.8177,96.3956,131.5126,348.6527,0.0038
1895-03-01,16.2598,119.6816,156.4065,572.3906,0.5278
1895-04-01,112.7083,170.1562,509.5358,1586.9545,2.1693
