# Sample flow file,,,,,
# Scenario A flow,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,
# Robert Morden University of Melbourne February 2024,,,,,
date,C1,C2,C3,C4,C5
1889-01-01,263.1533,57.2779,879.1045,1496.0804,113.508
1889-02-01,48.8257,17.5121,235.0573,616.866,0.1386
1889-03-01,10.1227,0.6356,55.6253,120.8669,0.0008
1889-04-01,229.9043,631.9348,2647.4442,7462.5932,24.8222
1889-05-01,244.4386,520.157,2097.1705,4551.5633,2.7331
1889-06-01,1384.354,3724.8476,13372.5151,25656.0304,1085.4028
1889-07-01,250.1197,1807.882,8975.2498,16928.6405,511.6384
1889-08-01,605.7263,2978.8506,11168.3573,20497.5518,1455.9541
1889-09-01,196.3063,460.9682,4046.5447,7193.0258,118.7067
1889-10-01,329.4733,1289.906,5132.5092,14844.324,3306.202
1889-11-01,142.3411,118.417,1416.2241,3268.515,18.9821
1889-12-01,17.5587,24.9642,346.1276,779.4844,0.0791
1890-01-01,14.5342,16.3892,131.7248,454.0974,0.2288
1890-02-01,1.7793,13.6015,32.6948,116.8911,0.0047
1890-03-01,9.8884,46.2159,167.8393,770.5754,0.165
1890-04-01,4.6422,18.0527,43.7717,272.8625,0.057
1890-05-01,10.0046,49.5616,154.172,804.8051,0.3752
1890-06-01,34.2202,72.8417,315.5932,1987.461,8.3333
1890-07-01,48.0049,117.1476,605.1305,3095.7462,20.5199
1890-08-01,143.7547,550.3887,1973.3318,7358.9892,207.0839
1890-09-01,105.7639,1034.4395,2695.3452,12422.6217,325.7999
1890-10-01,90.0227,304.2637,1507.2535,7170.7709,295.1876
1890-11-01,190.0806,547.6755,2438.4237,11428.4458,145.4981
1890-12-01,28.0626,41.0044,487.6783,1937.7585,5.2619
1891-01-01,4.6301,18.4323,126.6692,423.6119,0.018
1891-02-01,1.05,15.5712,33.3557,106.7608,0
1891-03-01,28.1276,29.4019,87.1716,219.1079,0.0077
1891-04-01,9.5863,67.0403,185.1061,549.6722,0.0276
1891-05-01,28.2487,43.2349,275.818,799.7536,1.2009
1891-06-01,57.2473,240.1171,1056.0587,4674.039,66.0331
1891-07-01,255.545,2184.6345,7373.5651,17673.2066,6.943
1891-08-01,159.2869,3216.9591,7702.0467,19544.5814,0.3162
1891-09-01,80.3588,725.1019,3175.9491,7491.4999,11.0282
1891-10-01,311.3374,1683.8694,6086.463,17188.0732,72.9418
1891-11-01,89.5156,241.1457,1753.1156,4169.7511,5.1991
1891-12-01,37.8176,75.7413,665.8486,1569.4129,1.8616
1892-01-01,4.3509,28.5176,147.4528,336.7538,0.0077
1892-02-01,1.104,25.5484,41.1946,102.9387,0
1892-03-01,7.7212,53.1734,136.1475,660.3,0.4632
1892-04-01,381.7429,811.9824,5047.4612,13376.3139,259.0112
1892-05-01,216.6222,560.5294,3448.2725,10092.6435,32.0781
1892-06-01,215.7734,820.2201,4434.0117,11534.1808,50.8247
1892-07-01,101.7063,779.3231,5690.926,11924.2656,118.8951
1892-08-01,353.8622,3435.714,13186.8308,24791.906,937.9637
1892-09-01,201.2549,1415.2431,6183.7552,13208.2347,184.544
1892-10-01,138.9076,939.1805,3432.5711,8749.2479,39.674
1892-11-01,234.2313,389.2877,2445.2475,5136.0229,33.5557
1892-12-01,71.7403,188.3682,992.1001,3294.6139,4.7925
1893-01-01,7.6793,40.197,190.3652,516.7438,0.0166
1893-02-01,1.774,36.1596,53.1216,158.9271,0
1893-03-01,10.1256,83.6903,143.2238,844.5955,0.032
1893-04-01,83.2674,276.5542,1397.585,3954.7623,16.8853
1893-05-01,398.5354,1480.4303,5215.1114,16588.6647,143.9254
1893-06-01,195.4227,686.9254,3173.8883,12328.9409,129.185
1893-07-01,136.9286,1305.9235,4902.0327,13705.1414,219.287
1893-08-01,255.2478,3445.1665,11012.9739,24291.9293,438.7213
1893-09-01,410.1958,4134.6443,13005.3111,30241.178,4742.4012
1893-10-01,829.616,2714.6834,11351.2908,26517.9143,2569.3939
1893-11-01,370.5338,1099.8784,4461.0058,14669.1552,109.5995
1893-12-01,41.7186,104.2033,1041.777,2289.8091,0.7872
1894-01-01,8.2689,61.8012,292.7022,616.0728,0.024
1894-02-01,2.0251,56.2206,87.1859,263.0294,0.0097
1894-03-01,25.2311,70.1715,155.5753,373.3721,0.3154
1894-04-01,58.0748,202.6753,893.5869,2336.0802,9.1984
1894-05-01,73.9066,347.9511,1563.0214,4040.4495,2.6699
1894-06-01,148.6635,940.648,3808.5208,10326.3774,79.1644
1894-07-01,394.4199,2772.1922,12781.1204,28457.2984,1300.3677
1894-08-01,207.9883,2090.8248,9289.8304,17309.4337,322.0895
1894-09-01,560.4268,2696.7945,13029.0024,23656.2901,1496.105
1894-10-01,1372.4854,2200.6447,14520.4147,30583.5373,7886.6731
1894-11-01,114.4281,87.3773,2452.3017,3766.056,18.9755
1894-12-01,90.066,216.1275,1307.5148,2890.062,3.0474
1895-01-01,31.3163,94.8417,410.7351,1030.5091,0.5099
1895-02-01,3.891,65.8911,93.1936,254.5183,0.0023
1895-03-01,6.948,90.7939,117.562,457.5985,0.3202
1895-04-01,63.4873,140.8748,404.4168,1366.9451,1.7037
1895-05-01,14.2322,113.2941,212.205,942.7076,0.162
1895-06-01,37.393,142.2716,528.7039,2242.0293,9.8701
1895-07-01,74.212,313.8661,1558.1022,4666.1559,16.1315
1895-08-01,148.7871,984.659,5120.7062,16991.7837,822.74
1895-09-01,211.7179,1526.6669,4701.16,19247.5595,616.821
1895-10-01,24.6127,116.0093,979.7019,2797.3192,3.0287
1895-11-01,3.9063,70.2406,241.6475,651.4261,0.0033
1895-12-01,14.4429,112.1806,337.4352,1111.1346,0.1459
1896-01-01,6.0423,84.3049,153.4361,962.8336,2.5667
1896-02-01,19.3452,113.6671,292.2127,1560.9204,1.9602
1896-03-01,8.5525,88.1844,112.5795,887.192,0.7718
1896-04-01,79.892,236.9804,771.7019,4748.7326,138.6261
1896-05-01,83.8017,468.9857,1868.0079,12011.7871,179.3496
1896-06-01,30.8369,382.1188,1167.5234,11699.0223,509.7177
1896-07-01,113.8598,1215.4123,3583.4703,13334.2926,679.2539
1896-08-01,112.8239,2154.5093,6565.3827,18364.818,770.0208
1896-09-01,102.8636,1686.1547,5783.4306,15976.9419,157.0121
1896-10-01,8.0278,81.7218,953.3444,1992.4754,0.9157
1896-11-01,5.1144,77.6073,319.3955,657.0877,0.0037
1896-12-01,2.4102,77.6267,109.1021,313.0933,0.0144
1897-01-01,140.8264,343.5831,1132.1073,3675.7471,3.2295
1897-02-01,30.9032,145.291,450.0952,2292.0162,1.8117
1897-03-01,9.299,100.0669,175.3894,1176.388,0.2297
1897-04-01,6.4795,89.3653,99.212,579.8446,0.0091
1897-05-01,11.153,120.9248,185.1368,1731.9462,0.5053
1897-06-01,24.9854,120.8149,268.9832,2160.1139,0.7796
1897-07-01,42.5708,188.9345,617.3543,4221.2977,1.341
1897-08-01,100.2674,386.0585,1942.7944,10626.667,29.7885
1897-09-01,67.8484,333.3744,1160.2755,5503.6432,1.6534
1897-10-01,88.5554,458.3636,1415.2949,5450.5497,2.9326
1897-11-01,16.1164,94.7746,288.449,1099.322,0.2699
1897-12-01,2.9541,68.6586,73.5244,298.0817,0.0016
1898-01-01,0.6826,65.4668,20.2377,119.2356,0
1898-02-01,0.7847,60.6033,8.5399,77.8105,0
1898-03-01,0.2082,69.8423,4.2942,81.392,0.0001
1898-04-01,14.2138,110.8213,275.6808,751.9947,0.52
1898-05-01,13.7732,150.7347,338.8068,1256.0963,2.1799
1898-06-01,79.2292,238.3145,947.1103,2235.1353,11.0623
1898-07-01,69.7568,405.7901,2075.8222,4110.3707,8.5599
1898-08-01,19.6351,136.9576,689.1461,1446.5115,1.7637
1898-09-01,98.1456,503.3513,1928.3767,5064.0354,50.9111
1898-10-01,61.4293,219.3301,913.7891,2151.5361,1.1498
1898-11-01,27.1584,90.2942,327.452,897.7942,0.2801
1898-12-01,6.6096,77.0244,122.5086,500.3332,0.0313
1899-01-01,14.6398,98.7329,238.0066,1004.5667,1.8551
1899-02-01,9.7672,64.0788,83.2219,414.7204,0.0937
1899-03-01,21.3017,92.4592,120.632,1029.2735,6.6237
1899-04-01,38.5701,263.0717,736.2253,4114.8698,6.431
1899-05-01,38.4562,244.8999,656.1476,5561.8288,40.5251
1899-06-01,212.1694,1306.0755,2368.4212,18912.0225,1298.4034
1899-07-01,25.0662,161.1069,443.6279,4115.6555,8.529
1899-08-01,65.7263,788.5844,1221.7554,7709.971,159.0721
1899-09-01,19.3576,217.2873,552.0753,3552.1324,113.4588
1899-10-01,38.9266,343.4765,655.6014,2721.4586,18.107
1899-11-01,78.3661,462.3932,1170.536,9236.6353,119.0846
1899-12-01,6.5248,64.5705,165.8958,884.8314,0.4848
1900-01-01,6.1154,67.4185,79.4087,478.7943,0.2463
1900-02-01,0.8814,56.1201,16.9884,130.4975,0.0013
1900-03-01,67.6831,171.1074,765.7562,2208.3469,12.5764
