# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1889-01-01,1889,1,312.1456,80.9144,1055.1921,1769.5211,121.1892
1889-02-01,1889,2,86.3419,28.7057,313.8626,762.51,0.2284
1889-03-01,1889,3,22.6951,1.2267,87.1238,170.5813,0.0012
1889-04-01,1889,4,285.6805,741.7336,2905.6235,8024.8532,27.5257
1889-05-01,1889,5,225.6347,552.5118,2171.8193,4662.6335,2.9573
1889-06-01,1889,6,1435.9191,3830.1925,13519.8704,25932.8792,1118.3143
1889-07-01,1889,7,195.7934,1828.38,8955.0748,16928.5673,517.9074
1889-08-01,1889,8,555.2219,3008.4887,11139.1437,20498.1079,1467.9105
1889-09-01,1889,9,165.0564,483.103,4095.0414,7277.4615,122.6008
1889-10-01,1889,10,315.6186,1313.2908,5186.5177,14951.7848,3326.3196
1889-11-01,1889,11,160.2806,144.3421,1557.7978,3529.9504,20.757
1889-12-01,1889,12,37.6412,40.712,433.4488,952.8831,0.1304
1890-01-01,1890,1,32.4916,29.2535,185.6697,583.0737,0.377
1890-02-01,1890,2,4.6276,24.3375,50.8398,165.1459,0.0078
1890-03-01,1890,3,23.2471,69.7523,221.9018,932.1606,0.272
1890-04-01,1890,4,10.4991,27.239,61.7142,328.9214,0.0939
1890-05-01,1890,5,19.8333,66.9526,183.1924,874.8548,0.6184
1890-06-01,1890,6,60.3427,93.2535,375.2797,2140.4164,10.0471
1890-07-01,1890,7,79.2286,142.0609,687.033,3266.0339,22.5221
1890-08-01,1890,8,155.1694,633.9729,2172.8047,7725.734,221.7715
1890-09-01,1890,9,100,1134.1989,2852.9844,12785.2782,343.4422
1890-10-01,1890,10,100,332.6108,1604.5183,7347.3428,307.4262
1890-11-01,1890,11,222.1386,596.0422,2595.7686,11768.1896,152.4339
1890-12-01,1890,12,53.7938,60.4522,584.4491,2158.3817,6.0605
1891-01-01,1891,1,11.5538,32.0603,169.8505,538.276,0.0296
1891-02-01,1891,2,2.7418,27.6597,51.0747,153.2653,0
1891-03-01,1891,3,61.9257,46.4893,140.9624,318.6281,0.0126
1891-04-01,1891,4,18.7635,91.148,232.0737,672.2567,0.0455
1891-05-01,1891,5,49.7249,55.9536,330.7346,888.4624,1.9577
1891-06-01,1891,6,91.9943,287.4679,1184.4636,5009.7473,72.0823
1891-07-01,1891,7,296.2318,2373.9521,7743.9128,18352.1846,7.4586
1891-08-01,1891,8,142.7778,3363.6259,7871.1433,19920.0748,0.4026
1891-09-01,1891,9,100,759.2159,3257.5305,7632.8329,12.0065
1891-10-01,1891,10,330.4681,1746.3455,6226.6472,17454.6895,78.5294
1891-11-01,1891,11,100,274.5771,1878.0036,4416.6184,5.8829
1891-12-01,1891,12,68.9238,100,779.8524,1805.0705,2.3236
1892-01-01,1892,1,10.9962,47.4447,195.7173,446.7107,0.0126
