# Sample flow file,,,,,
# Scenario C flow,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,
# Robert Morden University of Melbourne February 2024,,,,,
date,C1,C2,C3,C4,C5
1889-01-01,403.7722,73.1303,1222.4565,1847.7386,121.0014
1889-02-01,84.6323,33.2511,349.0686,870.3713,0.3343
1889-03-01,24.0079,1.2779,97.9522,192.0184,0.0018
1889-04-01,206.4127,394.792,1834.6825,5117.7713,13.1741
1889-05-01,196.9454,368.5085,1454.061,3803.9546,1.3215
1889-06-01,1058.5378,2194.119,8796.2366,17805.7704,693.0286
1889-07-01,188.1642,1241.4988,6272.3865,12348.681,207.3297
1889-08-01,504.5695,2568.0307,8882.348,17624.7195,547.2292
1889-09-01,181.5576,452.0736,3583.255,7064.6275,186.6071
1889-10-01,400.3957,1801.2975,6351.3964,20751.1863,5347.6261
1889-11-01,100.6404,81.7395,1321.0585,2990.6565,13.4214
1889-12-01,26.8073,35.1191,433.3431,943.2487,0.0587
1890-01-01,34.222,23.1302,201.5305,529.9583,0.2852
1890-02-01,4.3669,18.955,52.8704,159.8793,0.0097
1890-03-01,38.767,80.3784,326.9478,1201.796,0.7243
1890-04-01,9.1324,20.7239,65.2569,297.7245,0.0513
1890-05-01,14.5439,54.3624,152.7914,1072.0031,0.358
1890-06-01,44.4919,63.7576,273.0009,1785.286,8.163
1890-07-01,69.5178,130.3001,606.1578,2985.6381,18.5767
1890-08-01,198.4371,526.6184,1757.593,6749.0504,206.7494
1890-09-01,135.2007,1011.6231,2574.5579,12839.9579,453.9196
1890-10-01,147.5482,431.3552,1858.8291,11053.5396,1727.2595
1890-11-01,111.6928,292.3766,1326.9529,5078.6789,19.436
1890-12-01,36.9001,51.706,404.5167,1802.6446,4.3269
1891-01-01,7.6154,25.4911,118.4372,422.5829,0.0234
1891-02-01,1.7138,21.8608,33.8887,118.7095,0
1891-03-01,106.5388,46.2772,212.1905,418.5656,0.0311
1891-04-01,18.8244,55.2463,159.0117,456.3726,0.0208
1891-05-01,36.8643,43.7501,251.7475,995.802,1.0269
1891-06-01,67.8977,181.0447,813.1899,4048.5665,51.3635
1891-07-01,312.7494,2015.3814,6556.7763,16355.926,4.8454
1891-08-01,183.6522,2732.6059,6149.0695,17312.9556,0.3031
1891-09-01,96.7826,680.583,2786.7561,7450.4069,14.0887
1891-10-01,465.0959,2304.9705,7544.9074,23650.7073,145.0955
1891-11-01,84.1818,154.4616,1552.9659,3589.4568,1.3793
1891-12-01,62.9795,97.0698,776.341,1768.3017,2.2629
1892-01-01,9.8916,40.0217,197.4587,426.5333,0.0122
1892-02-01,2.5432,35.7924,61.1126,142.959,0.0001
1892-03-01,31.695,80.5284,263.7461,1035.0503,2.0811
1892-04-01,365.1733,525.8152,3590.3725,9435.8508,152.1149
1892-05-01,179.149,411.26,2356.2572,9095.4073,14.2244
1892-06-01,170.9646,411.0615,2555.6953,7978.5684,23.2912
1892-07-01,88.5426,446.1941,3637.7456,9198.7193,47.1286
1892-08-01,341.9571,2580.1945,10308.6635,20944.0793,434.0273
1892-09-01,195.8761,1283.622,5546.2097,12871.0344,203.0069
1892-10-01,186.9981,1297.571,4070.8322,13019.8753,81.4369
1892-11-01,121.0763,234.9501,1611.6448,3296.0665,4.6154
1892-12-01,85.0372,214.5251,1000.7599,3100.6143,4.9412
1893-01-01,12.4475,51.5055,214.6013,585.76,0.0251
1893-02-01,3.0521,46.3525,66.4049,199.0086,0
1893-03-01,39.4646,122.6357,272.8985,1276.8883,0.1381
1893-04-01,96.0295,194.2577,1035.2014,2883.3515,9.5747
1893-05-01,371.6613,1219.6994,3965.5077,16828.8289,72.7247
1893-06-01,159.086,377.4655,1967.5733,10092.8799,58.8128
1893-07-01,122.4558,893.7803,3292.0634,11389.9402,75.3775
1893-08-01,246.2678,2843.1703,8302.7802,20844.6456,210.6273
1893-09-01,395.9908,3974.402,12100.1574,29773.0009,4342.7751
1893-10-01,1033.1469,3722.8206,13814.9918,35022.7566,4119.9074
1893-11-01,239.1986,647.1295,3508.6661,8445.6756,18.966
1893-12-01,56.3111,128.7322,1110.4207,2347.2304,0.5001
1894-01-01,14.1769,77.1905,344.6468,688.9631,0.0269
1894-02-01,3.6794,70.1185,112.8667,348.3934,0.0206
1894-03-01,90.6856,85.0356,307.3761,622.5129,1.3092
1894-04-01,69.4027,154.3796,669.9457,1773.7398,5.5414
1894-05-01,79.219,304.2478,1207.7062,4353.636,1.4708
1894-06-01,146.2763,594.515,2514.0571,8251.3048,55.4035
1894-07-01,416.5858,2157.0888,10129.6783,24908.5213,858.7125
1894-08-01,212.6082,1660.2845,7304.9858,14852.4793,240.2118
1894-09-01,564.5991,2551.3358,12358.4235,23324.7034,1605.9231
1894-10-01,1721.2706,2955.6832,17717.2284,39881.5282,10174.875
1894-11-01,190.862,95.7234,2909.837,4876.0957,31.4463
1894-12-01,145.1905,258.8569,1633.223,3544.1752,4.3116
1895-01-01,70.5137,112.4069,598.1737,1277.8787,0.6599
1895-02-01,10.8831,82.3674,150.6586,356.0071,0.0033
1895-03-01,26.5253,110.2764,217.8706,700.1138,1.4961
1895-04-01,72.6758,122.5698,337.9492,1079.8572,1.2148
1895-05-01,15.3855,109.4153,176.0208,1054.8746,0.1195
1895-06-01,39.0728,121.5747,394.5579,1842.977,9.4828
1895-07-01,87.4475,298.6736,1374.1405,4175.4946,15.1091
1895-08-01,175.9861,829.0001,4035.0091,15047.7205,859.3276
1895-09-01,243.2522,1364.1097,4117.7004,19076.3022,1140.4033
1895-10-01,46.1017,144.3804,1013.3904,3219.8727,5.7608
1895-11-01,9.3686,86.2824,269.1734,799.1956,0.0108
1895-12-01,32.1554,131.9258,415.486,1354.4885,0.2774
1896-01-01,17.3482,101.6465,232.8965,1051.7654,3.0823
1896-02-01,30.9881,141.3258,403.7153,2151.2181,3.8035
1896-03-01,27.3067,103.7177,200.6935,1310.411,3.0076
1896-04-01,89.3023,178.4164,585.1323,3738.0436,94.843
1896-05-01,89.5138,406.6788,1469.2004,14029.5627,109.2097
1896-06-01,30.8027,254.9594,776.8111,10526.2738,316.7014
1896-07-01,133.7087,937.3176,2739.4241,11912.1743,312.5907
1896-08-01,133.1302,1640.3655,4723.1757,15882.0122,617.2983
1896-09-01,121.2342,1528.0607,4927.612,15469.9311,289.7448
1896-10-01,16.5439,94.303,873.1842,2110.4557,2.1627
1896-11-01,7.0761,89.951,298.4755,679.2991,0.0049
1896-12-01,5.4175,93.7487,123.2131,377.1058,0.0272
1897-01-01,312.9673,371.1984,1683.5977,4060.0672,3.8662
1897-02-01,54.9169,177.1917,620.0032,2943.5654,3.5278
1897-03-01,27.0206,117.535,292.3149,1631.0191,1.0899
1897-04-01,10.6396,90.2675,111.7906,600.3471,0.0134
1897-05-01,13.85,116.0204,166.0454,2338.1503,0.4552
1897-06-01,27.8499,107.4085,212.3045,2139.8755,0.8787
1897-07-01,53.8596,186.3741,584.8865,4553.951,1.5933
1897-08-01,131.5129,357.6545,1663.146,10342.6585,37.9126
1897-09-01,90.2233,326.9217,1104.2259,5889.6062,3.0564
1897-10-01,150.477,624.2022,1830.7564,9251.086,7.8198
1897-11-01,24.5584,95.7744,334.7297,1221.747,0.0912
1897-12-01,7.0975,85.8423,111.4184,410.8678,0.0006
1898-01-01,1.6483,84.3649,34.9922,168.1049,0
1898-02-01,1.5903,76.6834,15.6366,105.4615,0
1898-03-01,0.6539,83.8694,9.1598,105.1475,0.0005
1898-04-01,21.8403,104.3797,236.3937,628.6977,0.4106
1898-05-01,21.0429,147.4899,302.7549,1550.5967,1.5932
1898-06-01,104.8643,187.2187,753.8176,1902.9872,9.0845
